Song Name,Artist Names,Artist Genre,Is Lofi?,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Wine,David Cutter Music,['chillhop'],True,0.812,0.311,2,-14.033,0,0.16399999999999998,0.0644,0.792,0.0998,0.8290000000000001,140.158,155900,4
Your Aura,Jrney,[],False,0.706,0.259,8,-16.357,0,0.254,0.207,0.8909999999999999,0.0854,0.228,88.515,149116,4
Don't Delay,Monetary Justice,[],False,0.722,0.52,6,-8.337,0,0.162,0.669,0.903,0.099,0.534,79.994,144273,4
Proud of You,A L E X,"['chillhop', 'lo-fi beats']",True,0.82,0.281,8,-15.194,0,0.0802,0.8690000000000001,0.961,0.0925,0.62,104.988,182869,4
Serenity,eevee,"['chillhop', 'japanese chillhop', 'lo-fi beats']",True,0.5770000000000001,0.363,8,-10.89,0,0.0394,0.7979999999999999,0.927,0.0923,0.282,77.877,129247,4
a weird phone call,eevee beats,[],False,0.738,0.213,11,-11.99,0,0.222,0.305,0.882,0.11199999999999999,0.365,179.97799999999998,96000,4
Sometimes,MARTIN $KY,[],False,0.499,0.223,6,-14.612,0,0.20199999999999999,0.813,0.9520000000000001,0.14300000000000002,0.47,68.725,160580,4
Tomorrow,Leavv,"['chillhop', 'lo-fi beats']",True,0.718,0.23,6,-10.103,0,0.0372,0.736,0.8420000000000001,0.10400000000000001,0.607,87.035,171034,4
Co0kies,B0nds,[],False,0.745,0.392,7,-15.081,0,0.302,0.0203,0.361,0.354,0.331,77.15,137832,4
Rainy Mornings,Hyperparadise,['lo-fi beats'],True,0.552,0.08,10,-24.269000000000002,1,0.0789,0.9670000000000001,0.9520000000000001,0.0903,0.185,82.759,180738,4
Quiet Life,Dontcry,['lo-fi beats'],True,0.894,0.361,7,-10.051,0,0.0794,0.278,0.838,0.239,0.632,86.02600000000001,82326,4
Calcium,Bertholet,"['chillhop', 'lo-fi beats']",True,0.866,0.23600000000000002,2,-10.443,0,0.0662,0.782,0.935,0.14400000000000002,0.552,80.031,138000,4
